title,url,discounted_price,original_price
Camping Cookware Kit Outdoor Cooking Set Water Kettle Pan Pot Travelling Hiking,https://www.cigabuy.com/camping-cookware-kit-outdoor-cooking-set-water-kettle-pan-pot-travelling-hiking-p-19534.html,€17.27,€76.75 
Retractable Stool Folding Chair Superhard High Load Outdoor Camping Chair,https://www.cigabuy.com/retractable-stool-folding-chair-superhard-high-load-outdoor-camping-chair-p-20016.html,€7.02,€61.08 
Ozone Generator Machine Fruit & Vegetable Cleaning Machine Detoxification Ozone,https://www.cigabuy.com/ozone-generator-machine-fruit-vegetable-cleaning-machine-detoxification-ozone-p-20151.html,€18.15,€99.37 
Women PU Leather Crossbody Bags Small Handbags Chain Shoulder Messenger Bag,https://www.cigabuy.com/women-pu-leather-crossbody-bags-small-handbags-chain-shoulder-messenger-bag-p-19181.html,€3.47,€15.82 
30L Car Organizer Storage Box Folding Storage Container Travel Sundry Trunk Box,https://www.cigabuy.com/30l-car-organizer-storage-box-folding-storage-container-travel-sundry-trunk-box-p-19627.html,€3.78,€52.36 
Joinrun S19 Bluetooth Speaker Column Wireless Portable Sound Box,https://www.cigabuy.com/joinrun-s19-bluetooth-speaker-column-wireless-portable-sound-box-p-19261.html,€13.46,€45.62 
5-in-1 Multi-Functional Mini Handheld Car Air Pump,https://www.cigabuy.com/5-in-1-multi-functional-mini-handheld-car-air-pump-p-14854.html,€3.64,€24.30 
Multifunction Crossbody Bag for Men Anti-theft Shoulder Messenger Chest Bag,https://www.cigabuy.com/multifunction-crossbody-bag-for-men-anti-theft-shoulder-messenger-chest-bag-p-19045.html,€8.63,€40.70 
Strong Light LED Flashlight Multifunctional Outdoor Lighting USB Charging,https://www.cigabuy.com/strong-light-led-flashlight-multifunctional-outdoor-lighting-usb-charging-p-19247.html,€4.09,€13.20 
Baellerry Mens Wallets Long Zipper Leisure Hand Package Soft Texture Purse,https://www.cigabuy.com/baellerry-mens-wallets-long-zipper-leisure-hand-package-soft-texture-purse-p-19601.html,€3.16,€14.02 
Car Windscreen Cover Sunshade Ice and Frost Guard,https://www.cigabuy.com/car-windscreen-cover-sunshade-ice-and-frost-guard-p-14668.html,€1.78,€14.68 
Men's Body Shaper Slimming Shirt Elastic Sculpting Vest Compression Shapewear,https://www.cigabuy.com/mens-body-shaper-slimming-shirt-elastic-sculpting-vest-compression-shapewear-p-13662.html,€1.69,€2.58 
52-In-1 Screwdriver Multi-Function Manual Screwdriver Combination Repair Kit,https://www.cigabuy.com/52-in-1-screwdriver-multi-function-manual-screwdriver-combination-repair-kit-p-19262.html,€3.56,€17.48 
Bone Conduction Bluetooth Earphones 5.0 Wireless Bluetooth Earphone,https://www.cigabuy.com/bone-conduction-bluetooth-earphones-50-wireless-bluetooth-earphone-p-19640.html,€9.91,€17.61 
16.8V Electric Screwdriver Charging electric Drill bit Cordless drill Power Tool,https://www.cigabuy.com/168v-electric-screwdriver-charging-electric-drill-bit-cordless-drill-power-tool-p-19004.html,€13.49,€60.83 
Kingsons Backpack Fit 15inch Laptop USB Multi-layer Space Waterproof Mochila,https://www.cigabuy.com/kingsons-backpack-fit-15inch-laptop-usb-multi-layer-space-waterproof-mochila-p-20158.html,€46.18,€138.55 
T9 47-Key Gaming Keyboard Professional One-Single Hand USB Wired Keyboards,https://www.cigabuy.com/t9-47-key-gaming-keyboard-professional-one-single-hand-usb-wired-keyboards-p-18928.html,€5.93,€20.41 
KINSACH L2 Strong Light Torches Brightness 2000 Lumens Charging Flashlight,https://www.cigabuy.com/kinsach-l2-strong-light-torches-brightness-2000-lumens-charging-flashlight-p-18831.html,€6.52,€13.03 
Xiaomi MiJia PULIN Sonic Vibration Electric Shoes Brush IPX7 Waterproof,https://www.cigabuy.com/xiaomi-mijia-pulin-sonic-vibration-electric-shoes-brush-ipx7-waterproof-p-19600.html,€14.64,€36.86 
Automatic Stirring Mug Mixing Porcelain Mug Thermal Insulated Smart Cup,https://www.cigabuy.com/automatic-stirring-mug-mixing-porcelain-mug-thermal-insulated-smart-cup-p-19610.html,€16.22,€49.28 
Men Shaper Corset for Weight Loss with Zipper Waist Vest Workout Shirt,https://www.cigabuy.com/men-shaper-corset-for-weight-loss-with-zipper-waist-vest-workout-shirt-p-19043.html,€2.78,€14.56 
Mini Auto Range Digital Multimeter Tester AC DC Ammeter Voltmeter Voltage Meter,https://www.cigabuy.com/mini-auto-range-digital-multimeter-tester-ac-dc-ammeter-voltmeter-voltage-meter-p-19254.html,€8.11,€24.62 
Hot Full Screen 0-150mm Vernier Caliper Gauge Micrometer Ruler Accurate Tools,https://www.cigabuy.com/hot-full-screen-0-150mm-vernier-caliper-gauge-micrometer-ruler-accurate-tools-p-19016.html,€6.23,€15.93 
